phase,metal,config,stoich,exclude,z,T1,spec,sigt,sigt_1sm,sigt_1sp,sigt_10,sigt_20,sigt_80,sigt_90
bdp,Ag,symm_1,symm,1,z_all,300,"(0, 100, 7500, 2500)",29.9748,6.410995,50.45801,4.963813,7.454172,45.70514,74.34761
bdp,Ag,symm_1,symm,1,z_all,600,"(0, 100, 7500, 2500)",88.28332,12.30854,206.5689,-32.60267,19.13216,158.0484,218.0318
bdp,Ag,unsym_0,unsym,0,z_all,300,"(0, 100, 7500, 2500)",2.27194,0.2838394,4.226728,0.2153249,0.3637034,3.733941,5.25356
bdp,Ag,unsym_0,unsym,0,z_all,600,"(0, 100, 7500, 2500)",148.6561,34.4123,284.1173,-6.532163,39.98348,248.0471,302.4482
beta,K,120_4,120,4,z_all,300,"(0, 2500, 97500, 2500)",0.006191836,-0.003499453,0.02103934,-0.01080113,-0.002963213,0.01765193,0.02283211
beta,K,120_4,120,4,z_all,600,"(0, 2500, 97500, 2500)",0.9078489,0.07735612,1.862944,-0.1627627,0.110745,1.690658,2.487251
beta,K,120_4,120,4,z_all,1000,"(0, 2500, 97500, 2500)",21.21872,5.08382,37.48216,3.511972,6.17612,35.7025,40.04312
beta,Ag,120_4,120,4,z_all,300,"(0, 2500, 97500, 2500)",1.893007,0.174251,3.318656,0.006717901,0.3322629,3.125657,3.79044
beta,Ag,120_4,120,4,z_all,600,"(0, 2500, 97500, 2500)",30.84768,7.807795,50.5595,4.416842,9.194474,47.03312,74.65096
beta,Ag,120_4,120,4,z_all,1000,"(0, 2500, 97500, 2500)",150.4182,100.383,203.0801,100.0321,100.6268,188.7889,223.6456
beta,Na,120_4,120,4,z_all,300,"(0, 2500, 97500, 2500)",1.346395,0.0007665683,2.764666,-0.193123,0.174646,2.288441,3.145023
beta,Na,120_4,120,4,z_all,600,"(0, 2500, 97500, 2500)",32.0618,8.592712,57.712,3.198546,10.07802,55.95012,59.76133
beta,Na,120_4,120,4,z_all,1000,"(0, 2500, 97500, 2500)",188.7371,24.72941,309.5924,22.48295,31.76904,278.7427,417.0126
bdp,Ag,unsym_0,unsym,0,z_all,300,"(0, 2500, 97500, 2500)",2.415346,0.08688066,4.484988,-0.1600274,0.302456,4.326537,5.52003
bdp,Ag,unsym_0,unsym,0,z_all,600,"(0, 2500, 97500, 2500)",181.6648,35.10154,303.7513,9.118296,48.1435,290.8682,360.6202
bdp,Ag,symm_1,symm,1,z_all,600,"(0, 2500, 97500, 2500)",112.6807,9.216084,214.8214,-16.70491,27.22897,203.8883,230.5544
bdp,Ag,symm_1,symm,1,z_all,300,"(0, 2500, 97500, 2500)",53.31336,6.20094,103.3498,5.522802,6.672188,87.24151,126.53
beta,Na,120_1,120,1,z_all,300,"(0, 2500, 97500, 2500)",1.081527,0.06208786,2.016651,-0.04194935,0.06506892,1.741705,2.906065
beta,Na,120_1,120,1,z_all,600,"(0, 2500, 97500, 2500)",29.38772,1.011533,59.0279,0.5837683,1.68129,40.27283,63.78667
bdp,Na,unsym_0,unsym,0,z_all,230,"(0, 2500, 297500, 2500)",0.4300568,0.01125366,0.9930271,-0.0120135,0.01858912,0.7375614,1.330111
bdp,Na,unsym_0,unsym,0,z_all,300,"(0, 2500, 297500, 2500)",9.556575,1.041897,15.6257,0.4026904,1.332756,14.15654,19.34658
bdp,Na,unsym_0,unsym,0,z_all,473,"(0, 2500, 297500, 2500)",356.615,80.35802,544.995,43.17915,94.99502,483.0079,793.587
bdp,Na,unsym_0,unsym,0,z_all,600,"(0, 2500, 297500, 2500)",598.0576,66.65195,1191.942,55.80082,122.8317,1062.399,1311.764
bdp,Na,unsym_0,unsym,0,z_all,230,"(0, 7500, 297500, 7500)",0.3950931,0.005904452,0.865804,-0.0041167,0.009424639,0.7191517,1.013476
bdp,Na,unsym_0,unsym,0,z_all,300,"(0, 7500, 297500, 7500)",9.359273,4.671307,17.06876,3.677018,4.71445,15.30763,17.31162
bdp,Na,unsym_0,unsym,0,z_all,473,"(0, 7500, 297500, 7500)",316.9478,62.0607,589.8295,32.37695,64.77426,518.5622,669.9605
bdp,Na,unsym_0,unsym,0,z_all,600,"(0, 7500, 297500, 7500)",602.032,112.5697,669.2154,60.39891,132.8199,657.2157,1212.479
bdp,Na,unsym_0,unsym,0,z_all,230,"(0, 7500, 292500, 7500)",0.4095106,0.006895132,0.8914523,0.0007713938,0.01210194,0.723593,1.014115
bdp,Na,unsym_0,unsym,0,z_all,300,"(0, 7500, 292500, 7500)",9.359273,4.671307,17.06876,3.677018,4.71445,15.30763,17.31162
bdp,Na,unsym_0,unsym,0,z_all,473,"(0, 7500, 292500, 7500)",316.9478,62.0607,589.8295,32.37695,64.77426,518.5622,669.9605
bdp,Na,unsym_0,unsym,0,z_all,600,"(0, 7500, 292500, 7500)",602.032,112.5697,669.2154,60.39891,132.8199,657.2157,1212.479
bdp,Ag,unsym_0,unsym,0,z_all,230,"(0, 2500, 97500, 2500)",0.1002711,-0.02770343,0.2866546,-0.09443342,-0.004890064,0.2375443,0.3608213
bdp,Ag,unsym_0,unsym,0,z_all,473,"(0, 2500, 97500, 2500)",122.728,16.94396,209.4857,7.433473,25.19332,195.839,302.0591
