time,r2,r4,a2
7856.175,116.7973,45206.96,0.9883407
8010.725,118.9474,46757.55,0.9828655
8168.325,121.2388,48428.57,0.9768303
8329,123.5284,50096.42,0.9698094
8492.85,125.8521,51831.89,0.9634856
8659.925,128.1822,53546.55,0.9553613
8830.3,130.6091,55435.71,0.9498167
9004,133.0253,57321.52,0.9435702
9181.125,135.5961,59416.11,0.9389249
9361.75,138.1565,61497.04,0.9331391
9545.9,140.7318,63628.66,0.9276119
9733.7,143.3456,65846.51,0.9227167
9925.175,145.9853,68074.52,0.9165387
10120.42,148.6559,70363.49,0.9104431
10319.52,151.4184,72788.93,0.9048436
10522.55,154.2683,75303.64,0.8985139
10729.55,157.1581,77932.01,0.8931879
10940.62,160.0676,80604.59,0.8875747
11155.85,162.9981,83328.59,0.88183
11375.3,166.0351,86241,0.8770038
11599.08,169.1222,89222.32,0.8716444
11827.25,172.2226,92361.75,0.8683709
12059.92,175.3989,95667.12,0.8657796
12297.17,178.6559,99010.42,0.8612179
12539.1,181.9801,102537.5,0.8577453
12785.77,185.2756,106069.2,0.853977
13037.3,188.7072,109878,0.8513356
13293.77,192.2095,113827.3,0.848622
13555.27,195.7538,117893,0.8459461
13821.95,199.3425,122048,0.8428163
14093.85,203.0317,126449.4,0.8405187
14371.12,206.7534,130951.9,0.8380518
14653.83,210.5841,135634.7,0.8351465
14942.1,214.4285,140361.4,0.8316135
15236.05,218.4762,145519.4,0.8292114
15535.77,222.5944,150702.4,0.8249161
15841.4,226.816,156085.6,0.8203996
16153.02,231.0116,161567.5,0.8165092
16470.8,235.3142,167290.8,0.8127054
16794.83,239.6399,173123,0.808789
17125.22,244.1085,179138.5,0.8037419
17462.1,248.6091,185215,0.7980157
17805.62,253.2605,191625.2,0.7925404
18155.9,258.0007,198264.9,0.7871268
18513.08,262.7624,204944,0.7809836
18877.28,267.6356,211917.2,0.775128
19248.62,272.5425,218946,0.7685592
19627.3,277.6013,226144.4,0.7607362
20013.4,282.6148,233611.5,0.7549132
20407.1,287.6702,241037.9,0.7476191
20808.58,292.786,248623.1,0.7401722
21217.92,297.86,256317.2,0.7334229
21635.33,303.05,264328.4,0.7268969
22060.95,308.3581,272573.2,0.7199812
22494.92,313.7622,280772.3,0.7112142
22937.45,319.2111,289287.7,0.7034339
23388.7,324.649,298084.3,0.6969236
23848.8,330.4024,307632.5,0.6908186
24317.95,336.2445,317600.1,0.6854717
24796.35,342.1607,328051.8,0.681254
25284.15,348.2271,338643.6,0.6755948
25781.55,354.3721,349634.7,0.6705016
26288.72,360.4389,360598.2,0.6653726
26805.9,366.563,371944.5,0.6608562
27333.22,372.9351,384155.3,0.6572633
27870.92,379.4411,396930.6,0.6541581
28419.22,386.0795,410088.2,0.6507258
28978.28,392.875,423749.7,0.6472214
29548.35,399.871,437886.9,0.6431351
30129.65,407.0192,452711.7,0.6396199
30722.35,414.2385,468113.9,0.6368238
31326.72,421.4656,483859.2,0.6343533
31943,428.8945,500390.2,0.6321462
32571.4,436.4994,517716.6,0.630332
33212.15,444.1889,535225,0.627617
33865.5,452.1716,553566.9,0.6244814
34531.72,460.3103,572933.3,0.6223851
35211.05,468.4934,592359.8,0.6193092
35903.72,476.8167,612629.1,0.6167614
36610.03,485.1742,633356.1,0.6143729
37330.22,493.8015,655583.1,0.6131477
38064.6,502.6704,679105.2,0.6125816
38813.43,511.6401,703127.4,0.611596
39576.97,520.9573,728944.9,0.6115425
40355.55,530.3389,756380.6,0.6135583
41149.43,539.7649,783442.6,0.6134263
41958.93,549.2745,810697.2,0.6122449
42784.35,558.9151,838700.1,0.6108913
43626.03,568.5849,867451.4,0.6099254
44484.25,578.7031,897500,0.6079556
45359.35,589.181,929577,0.6067159
46251.68,599.6452,963603.7,0.6079071
47161.55,610.3176,998190.3,0.6078772
48089.32,620.9196,1033470,0.6083415
49035.35,631.5889,1068881,0.6077237
50000,642.5801,1106543,0.6079212
